id,名称,名称よみ,郵便番号,住所,面積,経度,緯度,更新日,備考,Flickr set ID
P7016,能見台北公園,,236-0057,神奈川県横浜市金沢区能見台一丁目42-1,"24,199",139.612732,35.360687,11/13/2014,,
P7017,能見台中央公園,,236-0057,神奈川県横浜市金沢区能見台三丁目50-1,"28,865",139.619095,35.356651,11/13/2014,,
P7018,能見台東公園,,236-0057,神奈川県横浜市金沢区能見台五丁目11-1,"37,544",139.623871,35.354198,11/13/2014,,
P7019,能見台堀口北公園,,236-0057,神奈川県横浜市金沢区能見台東6,"10,000",139.62468,35.359898,11/13/2014,,
P7020,白山道奥公園,,236-0045,神奈川県横浜市金沢区釜利谷南二丁目58,"12,348",139.598557,35.334816,11/13/2014,,
P7021,堀口西公園,,236-0057,神奈川県横浜市金沢区能見台東9,"14,308",139.623764,35.357948,11/13/2014,,
P7022,まつかぜ公園,,236-0014,神奈川県横浜市金沢区寺前二丁目27,"19,754",139.632278,35.3395,11/13/2014,,
P7023,六浦大道公園,,236-0033,神奈川県横浜市金沢区東朝比奈一丁目26,"10,581",139.605042,35.32534,11/13/2014,,
P7024,赤井谷公園,,236-0042,神奈川県横浜市金沢区釜利谷東三丁目9,816,139.617615,35.347878,11/13/2014,,
P7025,赤井谷第二公園,,236-0042,神奈川県横浜市金沢区釜利谷東三丁目26,402,139.616028,35.350513,11/13/2014,,
P7026,赤井谷第三公園,,236-0042,神奈川県横浜市金沢区釜利谷東三丁目18,847,139.616714,35.348896,11/13/2014,,
P7027,朝比奈町公園,,236-0033,神奈川県横浜市金沢区東朝比奈二丁目46,840,139.596771,35.325802,11/13/2014,,
P7028,イガイ根公園,,236-0005,神奈川県横浜市金沢区並木三丁目9,"2,000",139.642471,35.355473,11/13/2014,,
P7029,伊賀山公園,,236-0035,神奈川県横浜市金沢区大道一丁目42,928,139.605423,35.329834,11/13/2014,,
P7030,イド藻公園,,236-0005,神奈川県横浜市金沢区並木三丁目3,"2,000",139.639908,35.359913,11/13/2014,,
P7031,大川公園,,236-0042,神奈川県横浜市金沢区釜利谷東二丁目1,462,139.620422,35.340389,11/13/2014,,
P7032,奥座公園,,236-0046,神奈川県横浜市金沢区釜利谷西四丁目19,"8,751",139.593384,35.344437,11/13/2014,,
P7033,乙舳公園,,236-0013,神奈川県横浜市金沢区海の公園11,"8,229",139.63385,35.33252,11/13/2014,,72157649027533099
P7034,乙舳第二公園,,236-0024,神奈川県横浜市金沢区乙舳町21-31,184,139.631256,35.328541,11/13/2014,,
P7035,牡蠣根公園,,236-0005,神奈川県横浜市金沢区並木一丁目3,"2,000",139.64032,35.373901,11/13/2014,,
P7036,カゼ場公園,,236-0005,神奈川県横浜市金沢区並木一丁目12,"2,000",139.641678,35.370407,11/13/2014,,
P7037,片吹公園,,236-0055,神奈川県横浜市金沢区片吹53,"6,736",139.623276,35.351105,11/13/2014,,
P7038,片吹第二公園,,236-0055,神奈川県横浜市金沢区片吹16,"1,022",139.627167,35.352238,11/13/2014,,
P7039,金沢町公園,,236-0015,神奈川県横浜市金沢区金沢町121,"4,236",139.628891,35.344101,11/13/2014,,72157649028385509
P7040,金沢町第二公園,,236-0015,神奈川県横浜市金沢区金沢町184-132,"1,002",139.631622,35.342262,11/13/2014,,72157647117741173
P7041,釜利谷公園,,236-0042,神奈川県横浜市金沢区釜利谷東二丁目7,"1,293",139.613312,35.344807,11/13/2014,,
P7042,釜利谷第二公園,,236-0042,神奈川県横浜市金沢区釜利谷東一丁目26,"2,879",139.615402,35.342232,11/13/2014,,
P7043,釜利谷第三公園,,236-0042,神奈川県横浜市金沢区釜利谷東一丁目6,841,139.616257,35.342552,11/13/2014,,
P7044,釜利谷第四公園,,236-0042,神奈川県横浜市金沢区釜利谷東一丁目56,801,139.613297,35.34296,11/13/2014,,
P7045,釜利谷第五公園,,236-0042,神奈川県横浜市金沢区釜利谷東二丁目19,771,139.617859,35.344776,11/13/2014,,
P7046,釜利谷赤坂公園,,236-0042,神奈川県横浜市金沢区釜利谷東四丁目15,"4,207",139.61232,35.349712,11/13/2014,,
P7047,釜利谷柿の木公園,,236-0046,神奈川県横浜市金沢区釜利谷西二丁目3,"1,681",139.599976,35.34333,11/13/2014,,
P7048,釜利谷坂本公園,,236-0045,神奈川県横浜市金沢区釜利谷南一丁目3,"3,428",139.611313,35.339352,11/13/2014,,
P7049,釜利谷坂本第二公園,,236-0045,神奈川県横浜市金沢区釜利谷南四丁目8,"1,039",139.60878,35.340042,11/13/2014,,
P7050,釜利谷宿公園,,236-0042,神奈川県横浜市金沢区釜利谷東六丁目16,"1,338",139.610352,35.344189,11/13/2014,,
P7051,釜利谷西一丁目公園,,236-0046,神奈川県横浜市金沢区釜利谷西一丁目14,360,139.60524,35.343346,11/13/2014,,
P7052,釜利谷東八丁目公園,,236-0042,神奈川県横浜市金沢区釜利谷東八丁目1794-152,"1,607",139.601898,35.34016,11/13/2014,,
P7053,釜利谷南二丁目公園,,236-0045,神奈川県横浜市金沢区釜利谷南二丁目13,261,139.608032,35.336731,11/13/2014,,
P7054,釜利谷わんぱく公園,,236-0046,神奈川県横浜市金沢区釜利谷西一丁目1,"2,888",139.606613,35.3466,11/13/2014,,
P7055,カメギ根公園,,236-0012,神奈川県横浜市金沢区柴町364,"2,000",139.639069,35.346149,11/13/2014,,72157649034637638
P7056,北之門公園,,236-0046,神奈川県横浜市金沢区釜利谷西四丁目5,"2,662",139.595993,35.346375,11/13/2014,,
P7057,北谷公園,,236-0042,神奈川県横浜市金沢区釜利谷東五丁目9,"2,062",139.60614,35.348118,11/13/2014,,
P7058,小柴浜公園,,236-0012,神奈川県横浜市金沢区柴町347-7,203,139.638123,35.3456,11/13/2014,,
P7059,小浜公園,,236-0051,神奈川県横浜市金沢区富岡東二丁目5,"2,005",139.636475,35.37648,11/13/2014,,
P7060,サルダの鼻公園,,236-0005,神奈川県横浜市金沢区並木二丁目1,"2,000",139.640778,35.364582,11/13/2014,,
P7061,沢木谷公園,,236-0045,神奈川県横浜市金沢区釜利谷南三丁目12,"5,003",139.602402,35.337399,11/13/2014,,
P7062,沢木谷第二公園,,236-0045,神奈川県横浜市金沢区釜利谷南四丁目19,"1,753",139.603333,35.338982,11/13/2014,,
P7063,沢木谷第三公園,,236-0045,神奈川県横浜市金沢区釜利谷南四丁目31,"1,472",139.600281,35.338333,11/13/2014,,
P7064,沢木谷第四公園,,236-0045,神奈川県横浜市金沢区釜利谷南三丁目18,"1,323",139.600311,35.336891,11/13/2014,,
P7065,潮通り公園,,236-0005,神奈川県横浜市金沢区並木一丁目24,"2,251",139.639908,35.366493,11/13/2014,,
P7066,柴町公園,,236-0012,神奈川県横浜市金沢区柴町37-6,320,139.635223,35.343082,11/13/2014,,72157649032549200
P7067,柴仲町公園,,236-0012,神奈川県横浜市金沢区柴町278-1,598,139.639069,35.346149,11/13/2014,,
P7068,下ノ浜公園,,236-0051,神奈川県横浜市金沢区富岡東四丁目10,809,139.633759,35.367931,11/13/2014,,
P7069,称名寺東公園,,236-0017,神奈川県横浜市金沢区西柴四丁目24,"6,672",139.63353,35.346401,11/13/2014,,
P7070,城山台公園,,236-0016,神奈川県横浜市金沢区谷津町40-99,"2,013",139.625641,35.345024,11/13/2014,,72157649033893058
P7071,杉の崎公園,,236-0035,神奈川県横浜市金沢区大道二丁目26,552,139.603729,35.3283,11/13/2014,,
P7072,洲崎公園,,236-0028,神奈川県横浜市金沢区洲崎町23,"1,913",139.626923,35.331059,11/13/2014,,
P7073,瀬ケ崎台公園,,236-0038,神奈川県横浜市金沢区六浦南一丁目14,"1,792",139.616074,35.31879,11/13/2014,,
P7074,関ヶ谷公園,,236-0046,神奈川県横浜市金沢区釜利谷西三丁目42,"8,504",139.598145,35.34507,11/13/2014,,
P7075,関ヶ谷第二公園,,236-0046,神奈川県横浜市金沢区釜利谷西三丁目28,"1,341",139.600082,35.34465,11/13/2014,,
P7076,関ヶ谷の辻公園,,236-0046,神奈川県横浜市金沢区釜利谷西二丁目35,"4,856",139.596634,35.340431,11/13/2014,,
P7077,大道公園,,236-0035,神奈川県横浜市金沢区大道一丁目66,552,139.603821,35.329582,11/13/2014,,
P7078,高舟台第一公園,,236-0044,神奈川県横浜市金沢区高舟台二丁目36,"1,261",139.599594,35.331791,11/13/2014,,
P7079,高舟台第二公園,,236-0044,神奈川県横浜市金沢区高舟台二丁目36,"1,382",139.598267,35.331844,11/13/2014,,
P7080,高宗台公園,,236-0031,神奈川県横浜市金沢区六浦三丁目27,"3,426",139.608704,35.33102,11/13/2014,,
P7081,高谷公園,,236-0037,神奈川県横浜市金沢区六浦東二丁目18,"1,365",139.618011,35.320412,11/13/2014,,
P7082,高谷第二公園,,236-0032,神奈川県横浜市金沢区六浦町697-78,163,139.600647,35.318642,11/13/2014,,
P7083,泥亀一丁目公園,,236-0021,神奈川県横浜市金沢区泥亀一丁目28,"4,746",139.620972,35.333988,11/13/2014,,
P7084,泥亀公園,,236-0021,神奈川県横浜市金沢区泥亀二丁目9,,139.624329,35.338127,11/13/2014,閉鎖,
P7085,寺前さざなみ公園,,236-0014,神奈川県横浜市金沢区寺前二丁目5,"1,486",139.630234,35.337536,11/13/2014,,
P7086,寺前町公園,,236-0014,神奈川県横浜市金沢区寺前一丁目5,882,139.625717,35.340611,11/13/2014,,
P7087,鳶埼公園,,236-0012,神奈川県横浜市金沢区柴町343-6,"1,200",139.638275,35.344837,11/13/2014,,
P7088,富岡第二公園,,236-0052,神奈川県横浜市金沢区富岡西七丁目37,"1,214",139.626373,35.364887,11/13/2014,,
P7089,富岡第三公園,,236-0052,神奈川県横浜市金沢区富岡西四丁目49,"7,063",139.617523,35.366791,11/13/2014,,
P7090,富岡第四公園,,236-0052,神奈川県横浜市金沢区富岡西四丁目16,"2,522",139.61969,35.365799,11/13/2014,,
P7091,富岡第五公園,,236-0052,神奈川県横浜市金沢区富岡西五丁目7,"4,728",139.616806,35.363029,11/13/2014,,
P7092,富岡第六公園,,236-0052,神奈川県横浜市金沢区富岡西六丁目29,"2,016",139.6194,35.360199,11/13/2014,,
P7093,富岡第七公園,,236-0052,神奈川県横浜市金沢区富岡西五丁目41,"2,042",139.614609,35.360062,11/13/2014,,
P7094,富岡大谷公園,,236-0052,神奈川県横浜市金沢区富岡西三丁目9,872,139.625961,35.369648,11/13/2014,,
P7095,富岡大谷第二公園,,236-0052,神奈川県横浜市金沢区富岡西三丁目1,596,139.625122,35.367428,11/13/2014,,
P7096,富岡桜ヶ丘公園,,236-0052,神奈川県横浜市金沢区富岡西七丁目38,269,139.627777,35.364719,11/13/2014,,
P7097,富岡西一丁目公園,,236-0052,神奈川県横浜市金沢区富岡西一丁目57,"6,720",139.619736,35.369434,11/13/2014,,
P7098,富岡西三丁目公園,,236-0052,神奈川県横浜市金沢区富岡西三丁目1304-55,422,139.624008,35.368763,11/13/2014,,
P7099,富岡西七丁目公園,,236-0052,神奈川県横浜市金沢区富岡西七丁目41,991,139.629166,35.365597,11/13/2014,,
P7100,富岡西ふれあいの辻公園,,236-0052,神奈川県横浜市金沢区富岡西一丁目53,200,139.621231,35.370472,11/13/2014,,
P7101,富岡東一丁目公園,,236-0051,神奈川県横浜市金沢区富岡東一丁目26,786,139.623032,35.376266,11/13/2014,,
P7102,富岡ひかりが丘公園,,236-0052,神奈川県横浜市金沢区富岡西四丁目56,"3,299",139.614594,35.365456,11/13/2014,,
P7103,鳥浜公園,,236-0002,神奈川県横浜市金沢区鳥浜町16-3,"4,285",139.641769,35.379894,11/13/2014,,
P7104,鳥見ヶ丘公園,,236-0051,神奈川県横浜市金沢区富岡東三丁目5,201,139.628387,35.374752,11/13/2014,,
P7105,鳥見ヶ丘第二公園,,236-0051,神奈川県横浜市金沢区富岡東三丁目9,642,139.628281,35.373051,11/13/2014,,
P7106,長浜第二公園,,236-0011,神奈川県横浜市金沢区長浜一丁目7,174,139.630569,35.356651,11/13/2014,,
P7107,長浜第三公園,,236-0011,神奈川県横浜市金沢区長浜6-28,409,139.633545,35.35947,11/13/2014,,
P7108,長浜みはらし公園,,236-0054,神奈川県横浜市金沢区堀口15,"3,343",139.630753,35.358303,11/13/2014,,
P7109,中藻公園,,236-0005,神奈川県横浜市金沢区並木二丁目11,"2,000",139.640457,35.36264,11/13/2014,,
P7110,夏山第一公園,,236-0046,神奈川県横浜市金沢区釜利谷西一丁目42,"4,378",139.602188,35.345039,11/13/2014,,
P7111,夏山第二公園,,236-0046,神奈川県横浜市金沢区釜利谷西三丁目5,589,139.599655,35.347401,11/13/2014,,
P7112,夏山東公園,,236-0046,神奈川県横浜市金沢区釜利谷西一丁目15,"1,402",139.604782,35.343624,11/13/2014,,
P7113,並木十二天公園,,236-0005,神奈川県横浜市金沢区並木一丁目8,"4,484",139.638824,35.372181,11/13/2014,,
P7114,西柴第一公園,,236-0017,神奈川県横浜市金沢区西柴三丁目32,"2,951",139.628677,35.34951,11/13/2014,,
P7115,西柴第二公園,,236-0017,神奈川県横浜市金沢区西柴一丁目14,576,139.630295,35.353306,11/13/2014,,
P7116,西柴第三公園,,236-0017,神奈川県横浜市金沢区西柴二丁目22,"1,058",139.631882,35.349407,11/13/2014,,
P7117,西柴第四公園,,236-0017,神奈川県横浜市金沢区西柴一丁目26,734,139.62767,35.350399,11/13/2014,,
P7118,西柴第五公園,,236-0017,神奈川県横浜市金沢区西柴二丁目6,230,139.629272,35.351536,11/13/2014,,
P7119,西柴一丁目公園,,236-0017,神奈川県横浜市金沢区西柴一丁目76-7,734,139.628036,35.350746,11/13/2014,,
P7120,西柴台公園,,236-0011,神奈川県横浜市金沢区長浜二丁目7,927,139.632858,35.352192,11/13/2014,,
P7121,能見台あきにれ公園,,236-0057,神奈川県横浜市金沢区能見台五丁目49-1,"1,945",139.621841,35.349819,11/13/2014,,
P7122,能見台清水ヶ入公園,,236-0057,神奈川県横浜市金沢区能見台六丁目19-2,"2,601",139.611084,35.353828,11/13/2014,,
P7123,能見台千丈公園,,236-0057,神奈川県横浜市金沢区能見台三丁目31-1,"7,350",139.622269,35.359367,11/13/2014,,
P7124,能見台瀧公園,,236-0057,神奈川県横浜市金沢区能見台五丁目29-1,"2,651",139.618622,35.353008,11/13/2014,,
P7125,能見台野地久保公園,,236-0057,神奈川県横浜市金沢区能見台二丁目8-6,"2,523",139.610825,35.357712,11/13/2014,,
P7126,能見台平原公園,,236-0057,神奈川県横浜市金沢区能見台三丁目12-1,"2,454",139.617035,35.35881,11/13/2014,,
P7127,のりべか公園,,236-0005,神奈川県横浜市金沢区並木二丁目4,"2,000",139.638,35.366093,11/13/2014,,
P7128,白山道公園,,236-0045,神奈川県横浜市金沢区釜利谷南二丁目27,"1,745",139.607712,35.335716,11/13/2014,,
P7129,白山道第二公園,,236-0045,神奈川県横浜市金沢区釜利谷南二丁目23,501,139.606827,35.334606,11/13/2014,,
P7130,白山道六郎ヶ谷公園,,236-0045,神奈川県横浜市金沢区釜利谷南一丁目1363-10,440,139.609268,35.335724,11/13/2014,,
P7131,走川公園,,236-0021,神奈川県横浜市金沢区泥亀二丁目8,"1,800",139.625763,35.337318,11/13/2014,,72157649026673217
P7132,八景公園,,236-0026,神奈川県横浜市金沢区柳町1-10,"4,863",139.625427,35.328274,11/13/2014,,
P7133,八景西公園,,236-0043,神奈川県横浜市金沢区大川7,"9,002",139.612167,35.335636,11/13/2014,,
P7134,はなむしろ公園,,236-0046,神奈川県横浜市金沢区釜利谷西五丁目16,"2,298",139.59436,35.34156,11/13/2014,,
P7135,東朝比奈三丁目公園,,236-0033,神奈川県横浜市金沢区東朝比奈三丁目15,899,139.597473,35.326626,11/13/2014,,
P7136,東朝比奈地蔵前公園,,236-0033,神奈川県横浜市金沢区東朝比奈三丁目2,883,139.601471,35.32803,11/13/2014,,
P7137,東朝比奈ふれあい公園,,236-0033,神奈川県横浜市金沢区東朝比奈一丁目42,437,139.604935,35.322117,11/13/2014,,
P7138,東富岡公園,,236-0051,神奈川県横浜市金沢区富岡東六丁目30,"2,889",139.633392,35.365639,11/13/2014,,
P7139,東浜公園,,236-0005,神奈川県横浜市金沢区並木一丁目4,"2,000",139.637833,35.373745,11/13/2014,,
P7140,姫の島公園,,236-0021,神奈川県横浜市金沢区泥亀一丁目26,"3,413",139.623383,35.334351,11/13/2014,,
P7141,平潟公園,,236-0023,神奈川県横浜市金沢区平潟町16,"2,056",139.632416,35.333206,11/13/2014,,72157649379222056
P7142,方丈公園,,236-0046,神奈川県横浜市金沢区釜利谷西六丁目17,"2,037",139.594406,35.33839,11/13/2014,,
P7143,干網公園,,236-0005,神奈川県横浜市金沢区並木二丁目9,"2,000",139.638641,35.363907,11/13/2014,,
P7144,堀口公園,,236-0054,神奈川県横浜市金沢区堀口18,"1,869",139.629791,35.357738,11/13/2014,,
P7145,堀口第三公園,,236-0054,神奈川県横浜市金沢区堀口19,"1,006",139.628983,35.357719,11/13/2014,,
P7146,マサキの鼻公園,,236-0012,神奈川県横浜市金沢区柴町380,"1,247",139.643036,35.344116,11/13/2014,,
P7147,南川公園,,236-0038,神奈川県横浜市金沢区六浦南二丁目19,717,139.611649,35.321339,11/13/2014,,
P7148,南川こども公園,,236-0038,神奈川県横浜市金沢区六浦南二丁目2,155,139.609451,35.321526,11/13/2014,,
P7149,南川第二公園,,236-0038,神奈川県横浜市金沢区六浦南二丁目38,"2,312",139.613708,35.31889,11/13/2014,,
P7150,南丸公園,,236-0046,神奈川県横浜市金沢区釜利谷西六丁目31,"2,156",139.591995,35.336342,11/13/2014,,
P7151,宮ノ前公園,,236-0005,神奈川県横浜市金沢区並木一丁目15,"2,000",139.639175,35.371037,11/13/2014,,
P7152,六浦二丁目第一公園,,236-0031,神奈川県横浜市金沢区六浦二丁目8,"1,295",139.613937,35.329231,11/13/2014,,
P7153,六浦二丁目第二公園,,236-0031,神奈川県横浜市金沢区六浦二丁目7,746,139.614868,35.328728,11/13/2014,,
P7154,六浦二丁目第三公園,,236-0031,神奈川県横浜市金沢区六浦二丁目1,"1,097",139.619247,35.329296,11/13/2014,,
P7155,六浦あさがお公園,,236-0038,神奈川県横浜市金沢区六浦南五丁目11,"3,397",139.606277,35.318939,11/13/2014,,
P7156,六浦あざみ公園,,236-0038,神奈川県横浜市金沢区六浦南三丁目26,"2,869",139.610001,35.317101,11/13/2014,,
P7157,六浦公園,,236-0031,神奈川県横浜市金沢区六浦四丁目5,"1,456",139.618042,35.327026,11/13/2014,,
P7158,六浦三艘第一公園,,236-0038,神奈川県横浜市金沢区六浦南二丁目15,"1,722",139.613861,35.321293,11/13/2014,,
P7159,六浦三艘第二公園,,236-0038,神奈川県横浜市金沢区六浦南三丁目3,"1,114",139.614929,35.317043,11/13/2014,,
P7160,六浦白梅公園,,236-0031,神奈川県横浜市金沢区六浦五丁目10,"1,086",139.613998,35.325401,11/13/2014,,
P7161,六浦しらゆり公園,,236-0038,神奈川県横浜市金沢区六浦南三丁目11,161,139.612106,35.317062,11/13/2014,,
P7162,六浦瀬ケ崎公園,,236-0037,神奈川県横浜市金沢区六浦東一丁目25,"4,678",139.623093,35.319481,11/13/2014,,
P7163,六浦瀬ケ崎第二公園,,236-0037,神奈川県横浜市金沢区六浦東一丁目33,925,139.626129,35.321239,11/13/2014,,
P7164,六浦瀬戸公園,,236-0027,神奈川県横浜市金沢区瀬戸10,232,139.62117,35.329281,11/13/2014,,
P7165,六浦第二公園,,236-0031,神奈川県横浜市金沢区六浦三丁目11,422,139.612885,35.329868,11/13/2014,,
P7166,六浦第三公園,,236-0031,神奈川県横浜市金沢区六浦三丁目4,438,139.612076,35.329533,11/13/2014,,
P7167,六浦第四公園,,236-0031,神奈川県横浜市金沢区六浦三丁目41,"2,857",139.610336,35.332466,11/13/2014,,
P7168,六浦第五公園,,236-0031,神奈川県横浜市金沢区六浦三丁目6,"1,480",139.61235,35.328163,11/13/2014,,
P7169,六浦第六公園,,236-0031,神奈川県横浜市金沢区六浦二丁目10,511,139.61467,35.330795,11/13/2014,,
P7170,六浦第七公園,,236-0031,神奈川県横浜市金沢区六浦三丁目15,915,139.612167,35.330635,11/13/2014,,
P7171,六浦西第一公園,,236-0033,神奈川県横浜市金沢区東朝比奈三丁目19,"1,248",139.599854,35.326771,11/13/2014,,
P7172,六浦西第二公園,,236-0033,神奈川県横浜市金沢区東朝比奈二丁目19,"1,608",139.598679,35.323841,11/13/2014,,
P7173,六浦西第三公園,,236-0033,神奈川県横浜市金沢区東朝比奈二丁目15,"6,738",139.597916,35.321621,11/13/2014,,
P7174,六浦西第四公園,,236-0033,神奈川県横浜市金沢区東朝比奈一丁目37,963,139.602707,35.323338,11/13/2014,,
P7175,六浦西第五公園,,236-0031,神奈川県横浜市金沢区六浦五丁目42,740,139.608582,35.322182,11/13/2014,,
P7176,六浦西第六公園,,236-0031,神奈川県横浜市金沢区六浦五丁目30,"1,479",139.609695,35.324181,11/13/2014,,
P7177,六浦ひなぎく公園,,236-0038,神奈川県横浜市金沢区六浦南三丁目9,"1,000",139.611252,35.316376,11/13/2014,,
P7178,六浦ひまわり公園,,236-0038,神奈川県横浜市金沢区六浦南三丁目27,"3,561",139.60936,35.316132,11/13/2014,,
P7179,六浦南公園,,236-0038,神奈川県横浜市金沢区六浦南二丁目4,932,139.612,35.322601,11/13/2014,,
P7180,六浦谷戸田公園,,236-0032,神奈川県横浜市金沢区六浦町2431-33,484,139.600647,35.318642,11/13/2014,,
P7181,谷津公園,,236-0016,神奈川県横浜市金沢区谷津町362,770,139.622757,35.342091,11/13/2014,,
P7182,谷津坂第一公園,,236-0053,神奈川県横浜市金沢区能見台通15,"3,655",139.626068,35.361622,11/13/2014,,
P7183,谷津坂第二公園,,236-0053,神奈川県横浜市金沢区能見台通36,"1,342",139.623123,35.361809,11/13/2014,,
P7184,谷津坂第三公園,,236-0053,神奈川県横浜市金沢区能見台通47,358,139.629303,35.363129,11/13/2014,,
P7185,谷津坂南公園,,236-0054,神奈川県横浜市金沢区堀口23,"6,215",139.629074,35.356621,11/13/2014,,
P7186,谷津染井公園,,236-0016,神奈川県横浜市金沢区谷津町231-6,"1,645",139.622208,35.346355,11/13/2014,,
P7187,柳町公園,,236-0026,神奈川県横浜市金沢区柳町19-3,580,139.621964,35.324459,11/13/2014,,
P7188,六浦五丁目公園,,236-0031,神奈川県横浜市金沢区金沢区六浦五丁目1667-6,229,139.628265,35.344311,11/13/2014,,
P7189,富岡川せせらぎ緑道,,236-0052,神奈川県横浜市金沢区富岡西七丁目9-3,,139.626789,35.366271,11/13/2014,,
P7190,釜利谷町小川アメニティ,,236-0042,神奈川県横浜市釜利谷東七丁目7-1,,139.61035,35.342418,11/13/2014,,
